Marca de Tiempo, Uso de Memoria (%)
10:24:08,67.0
10:24:09,67.0
10:24:10,67.1
10:24:11,67.2
10:24:12,67.2
10:24:13,67.4
10:24:14,67.1
10:24:15,67.2
10:24:16,67.1
10:24:17,67.2
10:24:18,67.2
10:24:19,67.2
10:24:20,67.0
10:24:21,67.0
10:24:22,67.0
10:24:23,67.0
10:24:24,66.8
10:24:25,66.7
10:24:26,66.6
10:24:27,66.6
10:24:28,66.6
10:24:29,66.6
10:24:30,66.6
10:24:31,66.6
10:24:32,66.6
10:24:33,66.6
10:24:34,66.6
10:24:35,66.6
10:24:36,66.6
10:24:37,66.8
10:24:38,66.7
10:24:39,66.6
10:24:40,67.1
10:24:41,67.4
10:24:42,67.4
10:24:43,67.4
10:24:44,67.4
10:24:45,67.4
10:24:46,67.4
10:24:47,67.1
10:24:48,67.1
10:24:49,67.1
10:24:50,67.1
10:24:51,67.1
10:24:52,67.1
10:24:53,67.1
10:24:54,67.1
10:24:55,67.1
10:24:56,67.1
10:24:57,67.1
10:24:58,67.1
10:24:59,67.1
10:25:00,66.5
10:25:01,66.4
10:25:02,66.4
10:25:03,66.4
10:25:04,66.4
10:25:05,66.9
10:25:06,67.2
10:25:07,67.2
10:25:08,67.2
10:25:09,67.2
10:25:10,67.0
10:25:11,67.0
10:25:12,67.0
10:25:13,67.0
10:25:14,67.0
10:25:15,67.0
10:25:16,67.0
10:25:17,67.0
10:25:18,67.0
10:25:19,67.0
10:25:20,67.0
10:25:21,67.0
10:25:22,67.0
10:25:23,67.0
10:25:24,67.0
10:25:25,67.0
10:25:26,67.0
10:25:27,67.0
10:25:28,67.0
10:25:29,67.0
10:25:30,67.0
10:25:31,67.0
10:25:32,67.0
10:25:33,67.0
10:25:34,67.0
10:25:36,66.8
10:25:37,66.8
10:25:38,66.8
10:25:39,66.8
10:25:40,66.8
10:25:41,66.8
10:25:42,66.8
10:25:43,66.8
10:25:44,66.9
10:25:45,66.5
10:25:46,66.5
10:25:47,66.9
10:25:48,66.9
10:25:49,66.9
10:25:50,66.9
10:25:51,66.9
10:25:52,66.9
10:25:53,66.6
10:25:54,66.7
10:25:55,66.6
10:25:56,66.6
10:25:57,66.5
10:25:58,66.5
10:25:59,66.5
10:26:00,66.5
10:26:01,66.4
10:26:02,66.4
10:26:03,66.4
10:26:04,66.4
10:26:05,66.4
10:26:06,66.4
10:26:07,66.4
10:26:08,66.4
10:26:09,66.3
10:26:10,66.4
10:26:11,66.4
10:26:12,66.3
10:26:13,66.3
10:26:14,66.3
10:26:15,66.3
10:26:16,66.3
10:26:17,66.3
10:26:18,66.3
10:26:19,66.3
10:26:20,65.1
10:26:21,64.7
10:26:22,64.7
10:26:23,64.7
10:26:24,64.7
10:26:25,64.7
10:26:26,64.7
10:26:27,64.7
10:26:28,64.7
10:26:29,64.7
10:26:30,64.7
10:26:31,64.7
10:26:32,64.7
10:26:33,64.7
10:26:34,64.7
10:26:35,64.7
10:26:36,64.7
10:26:37,64.7
10:26:38,64.7
10:26:39,64.7
10:26:40,64.7
10:26:41,64.7
10:26:42,64.7
10:26:43,64.7
10:26:44,64.7
10:26:45,64.7
10:26:46,64.7
10:26:47,64.7
10:26:48,64.8
10:26:49,64.8
10:26:50,64.8
10:26:51,65.2
10:26:52,65.2
10:26:53,65.2
10:26:54,65.2
10:26:55,65.2
10:26:56,65.2
